sid,cluster_0_ratio,cluster_1_ratio,cluster_2_ratio,cluster_3_ratio,cluster_4_ratio,cluster_5_ratio,cluster_6_ratio,cluster_7_ratio,cluster_8_ratio,cluster_9_ratio
330,0.098039216,0.098039216,0,0.078431373,0,0.058823529,0.450980392,0,0.215686275,0
331,0.647058824,0.352941176,0,0,0,0,0,0,0,0
332,0,0,0,0,0,0.137254902,0,0.666666667,0.196078431,0
333,0.058823529,0,0.235294118,0.039215686,0.294117647,0.078431373,0.254901961,0,0.039215686,0
334,0.31372549,0,0.176470588,0.196078431,0.235294118,0.078431373,0,0,0,0
335,0.588235294,0.058823529,0,0.039215686,0,0.098039216,0.019607843,0,0.196078431,0
336,0.039215686,0.019607843,0,0,0,0.156862745,0,0.509803922,0.274509804,0
337,0.156862745,0,0.196078431,0.078431373,0.333333333,0.078431373,0.019607843,0.117647059,0.019607843,0
338,0,0,0.235294118,0.058823529,0.235294118,0.058823529,0.352941176,0,0.058823529,0
339,0,0.078431373,0,0,0,0.039215686,0.509803922,0,0.37254902,0
340,0.568627451,0.431372549,0,0,0,0,0,0,0,0
341,0.098039216,0,0.196078431,0.176470588,0.156862745,0.137254902,0,0.235294118,0,0
342,0.62745098,0.352941176,0,0,0,0,0.019607843,0,0,0
343,0.137254902,0,0.215686275,0.019607843,0.254901961,0.117647059,0.196078431,0,0.058823529,0
344,0.450980392,0.529411765,0,0,0,0,0.019607843,0,0,0
345,0.647058824,0.352941176,0,0,0,0,0,0,0,0
346,0.31372549,0,0.176470588,0.156862745,0.196078431,0.117647059,0,0,0,0.039215686
347,0,0.333333333,0,0,0,0,0,0.666666667,0,0
348,0.333333333,0.333333333,0,0,0,0,0.333333333,0,0,0
349,0.058823529,0.058823529,0,0,0,0.058823529,0,0.470588235,0.352941176,0
350,0,0.37254902,0,0,0,0,0,0.62745098,0,0
351,0.058823529,0.294117647,0,0,0,0,0.647058824,0,0,0
352,0,0,0,0.019607843,0,0.156862745,0,0.588235294,0.235294118,0
353,0.019607843,0,0.137254902,0,0,0.058823529,0,0.529411765,0,0.254901961
354,0.568627451,0.352941176,0,0,0,0,0,0.078431373,0,0
355,0.215686275,0.529411765,0,0,0,0,0.254901961,0,0,0
356,0.490196078,0.078431373,0,0,0,0.098039216,0,0.019607843,0.31372549,0
357,0,0.37254902,0,0,0,0,0.62745098,0,0,0
358,0.37254902,0,0.176470588,0.078431373,0.176470588,0.117647059,0,0.078431373,0,0
